0,Rock 'n' Roll Lifestyle,Motorcade of Generosity,Cake,1994
,user2
0,Army of Ancients,Fate,Dr. Dog,2008-07-22
,user1
1,Mr. Mastodon Farm,Motorcade of Generosity,Cake,1994
,user2
1,Mirror Kissers,The New Fellas,The Cribs,2005
,user1
2,Taking What's Not Yours,Who Really Cares,TV Girl,2016-02-25
,user2
2,Sun Come And Golden,Constant Image,Flasher,2018-06-08
,user1
3,Disco 2000,Different Class,Pulp,1995-10-30
,user2
3,Sweep Me Off My Feet,The Weather,Pond,2017-05-05
,user1
4,Lipgloss,His N Hers,Pulp,1994-04-18
,user2
4,Bambi,Bambi,Hippo Campus,2018-09-28
,user1
5,Common People,Different Class,Pulp,1995-10-30
,user2
5,Pressure,Constant Image,Flasher,2018-06-08
,user1
6,Never There,Prolonging the Magic,Cake,1998-02-05
,user2
6,Golden,Bambi,Hippo Campus,2018-09-28
,user1
7,Car 24,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,1998-05-21
,user2
7,Golden - Demo,Demos I,Hippo Campus,2019-06-14
,user1
8,Big Machines and Peculiar Beings,Big Machines and Peculiar Beings,The Debauchees,2013-11-12
,user2
8,Who’s Got Time?,Constant Image,Flasher,2018-06-08
,user1
9,Mexico,Prolonging the Magic,Cake,1998-02-05
,user2
9,Treading Water,Baby Charles,Baby Charles,2008-03-17
,user1
