0,22FJBNTKk3T6f9P7h0k5Vw,Army of Ancients,Fate,Dr. Dog,2008-07-22
1,6IOIaLZw0Bj5kMdB1qqKOt,Mirror Kissers,The New Fellas,The Cribs,2005
2,6oGNVHoRFPBPl8QiT7uTJV,Sun Come And Golden,Constant Image,Flasher,2018-06-08
3,7rxdEeEAZ3c5KQ7s1bC3cc,Sweep Me Off My Feet,The Weather,Pond,2017-05-05
4,5dmPNuHmRRJuHmJTDa7NuJ,Bambi,Bambi,Hippo Campus,2018-09-28
5,2JaCyH4hPvnxVlQVSo6jFg,Pressure,Constant Image,Flasher,2018-06-08
6,4vBIr27NcRFBNpyIxLHZuB,Golden,Bambi,Hippo Campus,2018-09-28
7,2dAV3oeoyJ2TAGEoyU7pbk,Golden - Demo,Demos I,Hippo Campus,2019-06-14
8,6rNIOIuVgJeftM3T0f0AVg,Who’s Got Time?,Constant Image,Flasher,2018-06-08
9,2AOKBui58tRSPLxGMQliYT,Treading Water,Baby Charles,Baby Charles,2008-03-17
