00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult
01C9OoXDvCKkGcf735Tcfo,Serge Gainsbourg
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco
01xiB0IlXMXy3wrrotgDnU,Clint Mansell
02NfyD6AlLA12crYzw5YcR,Jane's Addiction
02uYdhMhCgdB49hZlYRm9o,Eagles Of Death Metal
03YhcM6fxypfwckPCQV8pQ,Wes Montgomery
03r4iKL2g2442PT9n2UKsx,Beastie Boys
046wtejcUX9rhlzw2nlveT,The Soft Boys
04HvbIwBccFmRie5ATX4ft,Yeasayer
04tBaW21jyUfeP5iqiKBVq,Scott Walker
05YVYeV4HxYp5rrWalvuE1,Grover Washington, Jr.
066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem
07EcmJpfAday8xGkslfanE,Kevin Abstract
07OePkse2fcvU9wlVftNMl,SE SO NEON
07XSN3sPlIlB2L2XNcTwJw,KISS
07tYu4BGrfeogBobCefkHI,Les McCann
07vC6cutbett8UknXnqxsu,Ulrika Spacek
07xbJ7SM1JopFtI1qXvSww,Mini Mansions
08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
09K1H1DgyIXHsMx2j7KTFX,Mystery Jets
09L3cUdx0hq6qn5bKuJJ4I,Herb Alpert & The Tijuana Brass
09bff2umXU09Wt3fs4nehz,Tokyo Brass Style
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest
0AL8XXRh7fUrHAMLoDv9rn,Bonny Doon
0Ak6DLKHtpR6TEEnmcorKA,The Vaccines
0BVWMc7JEHdh2Ku6xgKuYL,The Zolas
0DrshpbzI0ItncVhYZ2BtW,BROCKBEATS
0ECwFtbIWEVNwjlrfc6xoL,Eagles
0EdvGhlC1FkGItLOWQzG4J,Sublime
0EgftqHXtk840HVLdydk5V,Charlie Parker Quintet
0EqBE2VOwsHgSOrjsQCs5j,Brainstory
0FMucZsEnCxs5pqBjHjIc8,Stan Getz
0GByy3DcfbQwDvXGCWmzv9,Pretenders
0Hf2pumFziW2zckaLCVy0n,Lluís Coloma
0ID2rxgFP750DJ9LtKqkP4,Nisarg
0IVcLMMbm05VIjnzPkGCyp,J Dilla
0IecGJbdBeYSOVtSPRehh5,Billy Preston
0IwlY33zbBXN7zlS9DP2Cj,Nico
0JDkhL4rjiPNEp92jAgJnS,Roy Orbison
0JVbYQsgLAgLkcHfmg4lxv,Amber Arcades
0K1q0nXQ8is36PzOKAMbNe,Spoon
0KU55rzxAihPhi27MAuz9O,The Big Moon
0KuF7reCTOZwV7YJnHQqgr,The Neptunes
0NKDgy9j66h3DLnN8qu1bB,Eurythmics
0NjdXlUziaK1qv3kgZV4Jy,Jonathan Richman & The Modern Lovers
0NkORdtw1GL2ZMen1gjOGL,Reilly & Co.
0Q35wRRhdsU8EbsJ1eouCY,The Black Seeds
0QJIPDAEDILuo8AIq3pMuU,M.I.A.
